iter	RMSE
0	75541.51666
1	70637.06389
2	66075.38741
3	62175.64983
4	58473.29816
5	55466.58719
6	52343.93348
7	49514.19184
8	47046.76599
9	44746.72731
10	42801.70954
11	41015.17307
12	39476.12747
13	38144.96208
14	36910.15712
15	35677.29084
16	34581.39162
17	33609.76426
18	32806.50205
19	32017.55584
20	31290.8472
21	30529.94898
22	29876.55059
23	29236.98201
24	28705.94411
25	28230.61299
26	27714.23241
27	27377.29243
28	26940.08831
29	26489.5586
30	26092.67853
31	25806.68069
32	25464.14143
33	25171.18659
34	24817.82609
35	24544.21989
36	24279.36684
37	24031.14702
38	23824.50728
39	23614.44926
40	23423.22337
41	23280.52589
42	23085.7065
43	22876.08081
44	22647.72294
45	22445.29135
46	22218.23937
47	22044.64263
48	21899.55955
49	21734.68654
50	21553.59953
51	21356.14037
52	21198.19688
53	21069.4346
54	20911.49419
55	20785.47812
56	20673.53445
57	20580.58345
58	20475.37901
59	20372.42895
60	20257.03348
61	20138.27191
62	20058.93193
63	19996.09349
64	19897.13297
65	19782.41241
66	19679.10652
67	19611.63795
68	19535.6394
69	19461.8655
70	19341.88188
71	19296.71706
72	19198.10206
73	19108.19063
74	19017.61807
75	18925.62046
76	18843.82437
77	18769.19792
78	18693.30319
79	18588.43144
80	18521.70643
81	18465.49617
82	18418.16143
83	18341.74305
84	18249.1719
85	18195.53578
86	18131.67327
87	17999.86977
88	17917.01195
89	17858.63465
90	17792.80534
91	17747.57975
92	17680.94759
93	17614.35587
94	17542.92128
95	17479.13184
96	17426.87706
97	17370.82301
98	17326.53716
99	17255.32441
