iter	Passed	Remaining
0	16	1681
1	39	1911
2	45	1478
3	51	1236
4	57	1093
5	63	993
6	69	917
7	74	861
8	80	815
9	86	778
10	92	745
11	97	715
12	103	690
13	108	669
14	114	649
15	120	631
16	126	615
17	131	599
18	137	588
19	143	574
20	149	561
21	154	548
22	160	537
23	165	525
24	171	514
25	177	505
26	183	496
27	189	488
28	195	478
29	201	469
30	207	460
31	212	451
32	218	442
33	224	435
34	229	426
35	235	417
36	240	410
37	246	402
38	251	393
39	257	386
40	263	379
41	269	371
42	275	364
43	280	357
44	286	350
45	292	342
46	297	336
47	303	328
48	309	321
49	314	314
50	320	308
51	326	301
52	332	295
53	338	288
54	344	281
55	349	274
56	355	268
57	363	262
58	370	257
59	378	252
60	384	246
61	392	240
62	399	234
63	407	229
64	412	222
65	418	215
66	424	209
67	430	202
68	436	196
69	441	189
70	447	182
71	453	176
72	459	169
73	465	163
74	470	156
75	476	150
76	481	143
77	487	137
78	493	131
79	499	124
80	505	118
81	511	112
82	516	105
83	522	99
84	530	93
85	537	87
86	543	81
87	550	75
88	557	68
89	564	62
90	569	56
91	575	50
92	580	43
93	586	37
94	592	31
95	598	24
96	605	18
97	610	12
98	616	6
99	622	0
